ticket_id,description,cleaned_description,entities,sentiment_score,sentiment_label,order_number,intent
1,"Ugh, fine. You need a return label for that stupid product? Here it is #58923. Just take it",ugh fine need return label stupid product 58923,"[('58923', 'MONEY')]",0.652,neg,58923,return_request
2,Thank you for the quick response. I'm satisfied with the service.,thank quick response satisfied service,[],0.629,pos,,positive_feedback
3,The website is not loading properly. Please fix it ASAP.,website load properly fix asap,[],0.821,neu,,general_comment
4,I need to return a product. Can you send me the return label?,need return product send return label,[],1.0,neu,,return_request
5,"Ugh, seriously? This is the best you could come up with?",ugh seriously good come,[],0.469,neg,,general_comment
6,Can you help me track my order from Amazon?,help track order amazon,"[('Amazon', 'ORG')]",0.614,pos,,inquiry
7,This is  the best apps acording to a bunch of people and I agree it has bombs eggs pigs TNT king pigs and realustic stuff,  good app acorde bunch people agree bomb egg pig tnt king pig realustic stuff,"[('TNT', 'ORG')]",0.774,neu,,general_comment
8,This is a pretty good version of the game for being free. There are LOTS of different levels to play. My kids enjoy it a lot too.,pretty good version game free lot different level play kid enjoy lot,"[('LOTS', 'ORG')]",0.595,pos,,positive_feedback
9,this is a really . there are a bunch of levels and you can find golden eggs. super fun.,bunch level find golden egg super fun,[],0.702,pos,,positive_feedback
10,"This is a silly game and can be frustrating, but lots of fun and definitely recommend just as a fun time.",silly game frustrating lot fun definitely recommend fun time,[],0.497,pos,,positive_feedback
11,This is a terrific game on any pad. Hrs of fun.  My grandkids love it. Great entertainment when waiting in long lines,terrific game pad hrs fun   grandkid love great entertainment wait long line,[],0.507,pos,,positive_feedback
12,This is a very entertaining game!  You don't have to be smart to play it.  I guess that's why I like it...it's easy and fun and that's what games are suppose to be.  Be warned: this game is highly addictive.,entertaining game   smart play   guess like easy fun game suppose   warn game highly addictive,[],0.63,pos,,positive_feedback
13,this is awesome and you don't need wi ti to play trust me. it is really fun and addicting. there are like 100 levels it is even free don't waste your money on the expensive one I mean seriously. get the app,awesome need wi ti play trust fun addicting like 100 level free waste money expensive mean seriously app,"[('100', 'CARDINAL')]",0.594,pos,,positive_feedback
14,this is awesome I bet no one even reads the reviews because they know this game is so good that they don't need to,awesome bet read review know game good need,[],0.677,pos,,positive_feedback
15,This is basicly the free version but with ads. That's actually awesome!!!! It's addicting and free at the same time really. I'd reccomend it.,basicly free version ad actually awesome addict free time reccomend,[],0.61,pos,,positive_feedback
16,this is by far the best free app that is available anywhere. it has helped pass the time when nothing else would do. don't pass this one up. PS I hate this 20 word minimum!,far well free app available help pass time pass ps hate 20 word minimum,"[('PS', 'ORG'), ('20', 'CARDINAL')]",0.736,neu,,negative_feedback
17,"This is definitely a great  to get my 6-year-old grand-nephew to teach me the tricks.  I have figured out some of them, but some configurations are tough to beat.  I don't particularly care spending about 45 minutes  completing a level, but ",definitely great   6 year old grand nephew teach trick   figure configuration tough beat   particularly care spend 45 minute   complete level,"[('6-year-old', 'DATE'), ('about 45 minutes', 'TIME')]",0.763,neu,,positive_feedback
18,this. is fun an time consuming. works great on my kindle fire I really like this game so does my btother,fun time consume work great kindle fire like game btother,[],0.574,pos,,positive_feedback
19,"This is good if you like physics games, free games, or bird games. Not like free version on ipod. You get all the levels and the only adds pop up in the corner and are barely noticeable.",good like physics game free game bird game like free version ipod level add pop corner barely noticeable,[],0.703,pos,,general_comment
20,This is great! This is my tried & true game to cure boredom! Its great to try & get 3 stars on every level!,great tried true game cure boredom great try 3 star level,"[('3', 'CARDINAL')]",0.585,pos,,positive_feedback
21,this is one of the best apps in the world along with all the other angry birds games. great for passing time by.,good app world angry bird game great pass time,[],0.633,pos,,positive_feedback
22,This is super fun though a little frustrating at times!!!! I loved it before I got my kindle I would beg my brother and dad to play. But when I get it I play it all the time!!!!!!,super fun little frustrating time love get kindle beg brother dad play play time,[],0.683,pos,,positive_feedback
23,"this is the ad free version of angry birds. this is the old fashioned version of the angry birds series. it is s huge and partially difficult game. if you have played angry birds before or this is the first time, you'll love it",ad free version angry bird old fashioned version angry bird series s huge partially difficult game play angry bird time love,"[('first', 'ORDINAL')]",0.594,neu,,positive_feedback
24,This is the best app ever. It makes it way easier to babysitt a mental kid. this app is very fun.,good app make way easy babysitt mental kid app fun,[],0.63,pos,,positive_feedback
25,this is the best app I ever downloaded for most of you people who say 1 2 3 or 4 stars you don't know much about what your supposed to do I purfor 5 stars for this app,good app download people 1 2 3 4 star know suppose purfor 5 star app,"[('1', 'CARDINAL'), ('4', 'CARDINAL'), ('5', 'CARDINAL')]",0.898,neu,,general_comment
26,THIS IS THE BESTEST GAME EVER OMG. IM SO EXCITED :TO PLAY OMG!!!!!!! OMG OMG OMG I LOVE ANGRY BIRDS SO MUCH ITS DA BOMB DIGGETY SO COOL OMG OMG OMG OMG OMG,best game omg m excited play omg omg omg omg love angry bird da bomb diggety cool omg omg omg omg omg,[],0.572,pos,,positive_feedback
27,This is the best game ever!!!!!  it is so fun and addicting. there is so many different episodes that are amazing. love it!,good game   fun addicting different episode amazing love,[],0.519,pos,,positive_feedback
28,this is the BEST game ever you should buy it the most awesome game in the whole wide world.  :D,good game buy awesome game wide world   d,[],0.56,pos,,positive_feedback
29,this is the best game they could think of.I downloaded it and my fav. character is the original pig.yay love it,good game think of.i download fav character original pig.yay love,[],0.554,pos,,positive_feedback
30,this is the first angry birds. so when you get in2 this one it'll leas to you wanting angry birds seasons and angry birds Rio. But they're all fantastic!!!!!!!!,angry bird in2 leas want angry bird season angry bird rio fantastic,"[('first', 'ORDINAL'), ('Rio', 'ORG')]",0.666,neg,,general_comment
31,"This is the first app that I installed onKindle Fire, Full Color 7"" Multi-touch Display, Wi-Fiwhich I purchased recently from Amazon. Angry Birds (free version) works smoothly on Kindle fire.Love the smooth graphics! It responds perfectly and It is a ple",app instal onkindle fire color 7 multi touch display wi fiwhich purchase recently amazon angry bird free version work smoothly kindle fire.love smooth graphic respond perfectly ple,"[('first', 'ORDINAL'), ('Fire, Full Color', 'FAC'), ('Amazon', 'ORG'), ('Angry Birds', 'ORG'), ('Kindle', 'GPE')]",0.703,neu,,positive_feedback
32,"this is the full version except it has ads. It is one of the best free apps on the app store. For IOS, the free version is like a demo. This is a better buy. You save 99 cents on the exact same thing as the paid version. I recommend it to everyone. A mus",version ad well free app app store io free version like demo well buy save 99 cent exact thing pay version recommend mus,"[('IOS', 'ORG'), ('99 cents', 'MONEY')]",0.687,pos,,general_comment
33,this is the game to get. those other bad comments r stupid. this app doesn't need wifi.  I like this app a lot its free and who doesn't love angry birds!!!,game bad comment r stupid app need wifi   like app lot free love angry bird,[],0.56,neg,,positive_feedback
34,this is the go to game for me... love it.  I find this much better than most other games out there,game love   find well game,[],0.728,pos,,positive_feedback
35,this is the one of the best apps becase it is a good time consuming games were ever you go becase you do not wifi,good app becase good time consume game becase wifi,[],0.764,neu,,general_comment
36,"This is the original anfry birds game but it only works on the original Kindle Fire and not on the new HD version.NEW NOTE - This has now been updated to work on the new Kindle Fire HD. Of course that did not happen until I bought the paid version, but n",original anfry bird game work original kindle fire new hd version.new note update work new kindle fire hd course happen buy pay version n,"[('Kindle Fire', 'LOC'), ('Kindle Fire HD', 'FAC')]",0.816,neu,,general_comment
37,"This is very popular game I've been hearing for a long time till my friends dared me to download it and play it.  Be damned that I got addicted to this game.  I love it so much.  I just turned my husband into this game, too.  Soon, I'll get my son on it,",popular game hear long time till friend dare download play   damn get addict game   love   turn husband game   soon son,[],0.757,neu,,positive_feedback
38,"This keeps me busy all the time. I am really happy about this app, I have never ever had any problems.P.S.Good luck with those green little boogers!",keep busy time happy app problems.p.s.good luck green little booger,[],0.774,neu,,negative_feedback
